best_epoch,best_loss,final_epoch,patience,module,module__num_units,module__activation,optimizer,lr
494,0.0634287993719524,500,100,SimpleNeuralNet,20,ReLU,Adam,0.001
460,0.0383806491609214,500,100,SimpleNeuralNet,20,ReLU,Adam,0.001
500,0.0780773668114694,500,100,SimpleNeuralNet,20,ReLU,SGD,0.001
500,0.0894454033567357,500,100,SimpleNeuralNet,20,ReLU,SGD,0.001
500,0.0700602662290237,500,100,SimpleNeuralNet,20,ReLU,SGD,0.001
470,0.0563967662285616,500,100,SimpleNeuralNet,25,ReLU,Adam,0.001
497,0.0616783920915107,500,100,SimpleNeuralNet,25,ReLU,Adam,0.001
498,0.0385241701448956,500,100,SimpleNeuralNet,25,ReLU,Adam,0.001
500,0.0796203771242084,500,100,SimpleNeuralNet,25,ReLU,SGD,0.001
500,0.0905844299421179,500,100,SimpleNeuralNet,25,ReLU,SGD,0.001
500,0.0600675736198786,500,100,SimpleNeuralNet,25,ReLU,SGD,0.001
470,0.056808147866547,500,100,SimpleNeuralNet,30,ReLU,Adam,0.001
471,0.0570596749310366,500,100,SimpleNeuralNet,30,ReLU,Adam,0.001
492,0.034726389630536,500,100,SimpleNeuralNet,30,ReLU,Adam,0.001
500,0.0764873567857623,500,100,SimpleNeuralNet,30,ReLU,SGD,0.001
500,0.0836817003621494,500,100,SimpleNeuralNet,30,ReLU,SGD,0.001
500,0.0635070234420133,500,100,SimpleNeuralNet,30,ReLU,SGD,0.001
491,0.0693830971303234,500,100,SimpleNeuralNet,10,Tanh,Adam,0.001
500,0.0710179694174797,500,100,SimpleNeuralNet,10,Tanh,Adam,0.001
500,0.0453664804721653,500,100,SimpleNeuralNet,10,Tanh,Adam,0.001
500,0.0977483134776127,500,100,SimpleNeuralNet,10,Tanh,SGD,0.001
500,0.1080349185417277,500,100,SimpleNeuralNet,10,Tanh,SGD,0.001
500,0.0797784692352402,500,100,SimpleNeuralNet,10,Tanh,SGD,0.001
498,0.0613118170696325,500,100,SimpleNeuralNet,15,Tanh,Adam,0.001
492,0.0617688344808759,500,100,SimpleNeuralNet,15,Tanh,Adam,0.001
495,0.0427802386458271,500,100,SimpleNeuralNet,15,Tanh,Adam,0.001
500,0.0945640317836855,500,100,SimpleNeuralNet,15,Tanh,SGD,0.001
500,0.0986220433179807,500,100,SimpleNeuralNet,15,Tanh,SGD,0.001
500,0.0761008246027928,500,100,SimpleNeuralNet,15,Tanh,SGD,0.001
497,0.058847127381448,500,100,SimpleNeuralNet,20,Tanh,Adam,0.001
493,0.0596723976055635,500,100,SimpleNeuralNet,20,Tanh,Adam,0.001
498,0.0378230780046565,500,100,SimpleNeuralNet,20,Tanh,Adam,0.001
500,0.0923719727277458,500,100,SimpleNeuralNet,20,Tanh,SGD,0.001
500,0.0979431352382784,500,100,SimpleNeuralNet,20,Tanh,SGD,0.001
500,0.0749655195678349,500,100,SimpleNeuralNet,20,Tanh,SGD,0.001
498,0.0564483351540391,500,100,SimpleNeuralNet,25,Tanh,Adam,0.001
481,0.0547271732270563,500,100,SimpleNeuralNet,25,Tanh,Adam,0.001
496,0.0356193400231913,500,100,SimpleNeuralNet,25,Tanh,Adam,0.001
500,0.084962839598016,500,100,SimpleNeuralNet,25,Tanh,SGD,0.001
500,0.0968491205972454,500,100,SimpleNeuralNet,25,Tanh,SGD,0.001
500,0.0776084409487788,500,100,SimpleNeuralNet,25,Tanh,SGD,0.001
496,0.05361833585132,500,100,SimpleNeuralNet,30,Tanh,Adam,0.001
494,0.0552831265004021,500,100,SimpleNeuralNet,30,Tanh,Adam,0.001
497,0.0320426934387292,500,100,SimpleNeuralNet,30,Tanh,Adam,0.001
